epoch,step,min,max,mean,std
1,1000,-33.904579162597656,-33.904579162597656,-33.904579162597656,0.0
2,2000,-34.16730499267578,-34.16730499267578,-34.16730499267578,0.0
3,3000,-31.23591423034668,-31.23591423034668,-31.23591423034668,0.0
4,4000,-31.108150482177734,-31.108150482177734,-31.108150482177734,0.0
5,5000,-28.881179809570312,-28.881179809570312,-28.881179809570312,0.0
6,6000,-27.874290466308594,-27.874290466308594,-27.874290466308594,0.0
7,7000,-21.59610939025879,-21.59610939025879,-21.59610939025879,0.0
8,8000,-20.013492584228516,-20.013492584228516,-20.013492584228516,0.0
9,9000,-17.862863540649414,-17.862863540649414,-17.862863540649414,0.0
10,10000,-15.808265686035156,-15.808265686035156,-15.808265686035156,0.0
