epoch,step,min,max,mean,std
1,1000,0.9083505868911743,0.9083505868911743,0.9083505868911743,0.0
2,2000,0.8317805528640747,0.8317805528640747,0.8317805528640747,0.0
3,3000,0.7686908841133118,0.7686908841133118,0.7686908841133118,0.0
4,4000,0.7174403071403503,0.7174403071403503,0.7174403071403503,0.0
5,5000,0.6795288324356079,0.6795288324356079,0.6795288324356079,0.0
6,6000,0.6538701057434082,0.6538701057434082,0.6538701057434082,0.0
7,7000,0.6363296508789062,0.6363296508789062,0.6363296508789062,0.0
8,8000,0.6280155181884766,0.6280155181884766,0.6280155181884766,0.0
9,9000,0.6281731128692627,0.6281731128692627,0.6281731128692627,0.0
10,10000,0.6407894492149353,0.6407894492149353,0.6407894492149353,0.0
