epoch,step,min,max,mean,std
1,1000,-0.06495293229818344,0.004314659163355827,-0.012210940942168236,0.012309577316045761
2,2000,-0.11669055372476578,0.0004480178467929363,-0.023884717375040054,0.0211192574352026
3,3000,-0.026661505922675133,0.014855436980724335,-0.0039504473097622395,0.0077280160039663315
4,4000,-0.11150836944580078,0.019449690356850624,-0.01909218542277813,0.024556294083595276
5,5000,-0.11908446252346039,0.024351714178919792,-0.022899921983480453,0.03008510358631611
6,6000,-0.04483667016029358,0.09702260792255402,0.007049169857054949,0.025876319035887718
7,7000,-0.06272424012422562,0.14922678470611572,0.00669398857280612,0.039900124073028564
8,8000,-0.04871232435107231,0.15488570928573608,0.026137618348002434,0.04179570823907852
9,9000,-0.16668801009655,0.0014879899099469185,-0.031219150871038437,0.03323224559426308
10,10000,-0.039719730615615845,0.06529797613620758,0.006380538456141949,0.017131298780441284
