epoch,step,min,max,mean,std
1,1000,0.03452436998486519,0.03452436998486519,0.03452436998486519,0.0
2,2000,0.014677900820970535,0.014677900820970535,0.014677900820970535,0.0
3,3000,0.09599845111370087,0.09599845111370087,0.09599845111370087,0.0
4,4000,0.003392385318875313,0.003392385318875313,0.003392385318875313,0.0
5,5000,0.00632573664188385,0.00632573664188385,0.00632573664188385,0.0
6,6000,0.26685675978660583,0.26685675978660583,0.26685675978660583,0.0
7,7000,-0.1490303874015808,-0.1490303874015808,-0.1490303874015808,0.0
8,8000,-0.5915929079055786,-0.5915929079055786,-0.5915929079055786,0.0
9,9000,0.056820884346961975,0.056820884346961975,0.056820884346961975,0.0
10,10000,0.14236074686050415,0.14236074686050415,0.14236074686050415,0.0
