epoch,step,min,max,mean,std
1,10000,-0.12416023761034012,0.08178119361400604,-0.009526077657938004,0.02927098609507084
2,20000,-0.09961526095867157,0.09145049005746841,-0.018068872392177582,0.03203239664435387
3,30000,-0.047312989830970764,0.03667251393198967,-0.004117499105632305,0.017839912325143814
4,40000,-0.10824935138225555,0.11451081931591034,0.00021839485270902514,0.0403953418135643
5,50000,-0.3913882076740265,0.11059433966875076,-0.05061950907111168,0.08330219238996506
6,60000,-0.148508220911026,0.05510391294956207,-0.012053066864609718,0.03209661319851875
7,70000,-0.11607837677001953,0.34504228830337524,0.046612970530986786,0.06825710833072662
8,80000,-0.02059055306017399,0.41176292300224304,0.045204389840364456,0.061510488390922546
9,90000,-0.20581747591495514,0.04572663456201553,-0.02937617152929306,0.03978922963142395
10,100000,-0.12675559520721436,0.02165626734495163,-0.01505065057426691,0.022755587473511696
