time_step,theta_model,theta_dot_model,theta_gym,theta_dot_gym
0.0,-0.9549315,0.24677753,0.07472631,-0.99720407
0.0,-0.048745394,-0.9907057,-0.032402594,-0.9994749
0.05,-0.18016914,-0.9882006,-0.16994838,-0.98545295
0.1,-0.36050037,-0.935213,-0.34831423,-0.9373778
0.15000000000000002,-0.53066564,-0.8082145,-0.5448485,-0.83853453
0.2,-0.7580905,-0.656838,-0.74505204,-0.6670063
0.25,-0.8908644,-0.41317979,-0.9020152,-0.4317042
0.30000000000000004,-0.9714165,-0.10709987,-0.9901045,-0.14033209
0.35000000000000003,-0.97675943,0.1828672,-0.98693424,0.16112372
0.4,-0.8907126,0.45525426,-0.8999345,0.4360252
0.45,-0.7619424,0.68319684,-0.75162727,0.6595881
0.5,-0.5766454,0.85905045,-0.55816793,0.829728
0.55,-0.358467,0.9600257,-0.34362477,0.939107
0.6000000000000001,-0.17582533,1.0018349,-0.14827363,0.9889464
0.65,0.011006027,1.0163705,0.0025545456,0.9999967
0.7000000000000001,0.095413476,0.99690014,0.12188755,0.99254394
0.75,0.18015549,0.9773126,0.19206579,0.9813821
0.8,0.2213006,0.9762245,0.21778737,0.97599626
0.8500000000000001,0.22726478,0.95412034,0.22112831,0.9752447
0.9,0.1811281,0.9717619,0.19666076,0.9804716
0.9500000000000001,0.1279155,0.97958964,0.1289834,0.99164677
1.0,-0.0025277436,1.0019796,0.031185713,0.9995136
1.05,-0.11261472,1.0001049,-0.1047929,0.9944941
1.1,-0.27996293,0.95017296,-0.2816678,0.959512
1.1500000000000001,-0.47921106,0.8518891,-0.47699636,0.8789053
1.2000000000000002,-0.6823113,0.72842544,-0.6802593,0.73297155
1.25,-0.84962344,0.5122282,-0.85548437,0.51782864
1.3,-0.9763981,0.25249997,-0.970738,0.24014105
1.35,-0.9951037,-0.065729044,-0.99775875,-0.06691376
1.4000000000000001,-0.932981,-0.38140813,-0.9317281,-0.36315656
1.4500000000000002,-0.7648289,-0.6264598,-0.781964,-0.62332356
1.5,-0.57009864,-0.8217242,-0.57823837,-0.8158679
1.55,-0.36013398,-0.93194735,-0.36632732,-0.930486
1.6,-0.12561488,-0.95920414,-0.15335856,-0.9881706
1.6500000000000001,0.04610288,-0.9935551,0.0210725,-0.999778
1.7000000000000002,0.16590196,-0.99506193,0.14911132,-0.98882043
1.75,0.23759562,-0.9716734,0.23487036,-0.9720267
1.8,0.29947343,-0.9539948,0.29376617,-0.9558773
1.85,0.3095714,-0.94079375,0.30744594,-0.95156556
1.9000000000000001,0.28214213,-0.97401077,0.3007527,-0.95370215
1.9500000000000002,0.24403527,-0.944263,0.24561724,-0.9693669
2.0,0.13616535,-0.9850252,0.15542854,-0.98784715
2.0500000000000003,0.01887229,-1.0003871,0.038528692,-0.9992575
2.1,-0.14433807,-0.990966,-0.11592202,-0.9932583
2.15,-0.32347676,-0.9413193,-0.31344616,-0.949606
2.2,-0.53968596,-0.82639015,-0.53398645,-0.845493
2.25,-0.71756244,-0.639365,-0.74544555,-0.66656655
2.3000000000000003,-0.8856443,-0.40765837,-0.9063159,-0.4226008
2.35,-0.9906589,-0.075053535,-0.99350613,-0.113778435
2.4000000000000004,-0.9663135,0.22696891,-0.9792574,0.2026202
